Kind,Name,CoverageLinesFound,CoverageLinesHit,CoverageLinesPercent,CoverageFunctionsFound,CoverageFunctionsHit,CoverageFunctionsPercent,CoverageHits,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Function,"cancella_utente()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,15,1,14,4,10,2,0,0,4,9,11,3,0,8,3,,,2,,0.14,
File,"config.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,4,0,0,0,0,1,0,4,,0,0,0,0,0,,0,,0,,0.00,0
Function,"crea_utente()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,24,2,20,7,16,2,0,0,3,12,15,7,0,8,3,,,1,,0.10,
Static Function,"ct_str_eq(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,6,7,0,0,0,2,8,11,7,0,6,5,,,1,,0.00,
Function,"demo_comment_mix()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,27,4,7,1,4,6,7,4,2,5,5,0,1,4,1,,,0,,0.86,
Function,"demo_ub()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,12,0,12,9,10,0,0,0,7,29,30,11,0,20,3,,,1,,0.00,
Function,"demo_unspecified()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,3,4,0,0,0,4,8,9,4,0,6,1,,,0,,0.00,
Function,"effettua_login()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,3,7,0,0,0,3,7,10,3,0,8,3,,,1,,0.00,
Static Function,"extra_funzione_lunga()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,2,4,0,0,0,2,5,6,1,0,5,2,,,1,,0.00,
Static Function,"f_side(int *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,2,2,2,0,0,2,1,,,0,,0.00,
Static Function,"find_user(FILE *,const char *,char *,size_t)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,7,20,0,20,5,15,0,0,0,9,12,16,4,0,13,6,,,3,,0.00,
Static Function,"g_side(int *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,2,2,2,0,0,2,1,,,0,,0.00,
Static Function,"has_invalid_chars(const char *,const char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,5,0,0,0,2,5,9,0,0,9,5,,,1,,0.00,
Function,"main()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,0,23,3,20,2,14,0,0,0,7,8,14,1,0,13,7,,,3,,0.00,
File,"main.c",138,81,0.59,0,0,0.00,,13,1,11,1,3,0.00,0.00,0,0,,,,0,,,,,,16,,,,,,,,,,,,,,252,32,180,47,133,26,7,12,,150,209,57,1,155,,9,,3,,0.14,50
Function,"modifica_utente()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,21,2,18,4,12,3,0,0,6,13,20,3,0,17,6,,,2,,0.17,
Static Function,"print_menu()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,13,0,13,1,11,0,0,0,2,11,11,0,0,11,1,,,0,,0.00,
File,"pthread_compat.h",0,0,0.00,0,0,0.00,,0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,48,2,0,0,0,1,39,15,,0,0,0,0,0,,0,,0,,0.00,0
Function,"read_line(const char *,char *,size_t)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,10,10,0,10,2,7,0,0,0,5,5,7,1,0,7,3,,,2,,0.00,
Static Function,"rewrite_db_skip_or_replace(const char *,const char *,const char *,int *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,8,60,8,51,17,42,1,0,0,17,43,56,15,0,46,18,,,3,,0.02,
Static Function,"rinomina_utente()",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,1,16,1,15,3,11,0,0,0,4,8,10,2,0,8,3,,,1,,0.00,
Static Function,"run_action(int)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,2,13,0,13,1,10,0,0,0,9,18,28,0,0,28,9,,,1,,0.00,
Static Function,"trim_nl(char *)",,,,,,,0,,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,2,0,0,0,2,2,3,1,0,3,2,,,1,,0.00,
